2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_classify_emails
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_unread_summary
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_list_emails
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_get_email
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_open_ui
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_close_ui
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_send_email
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_delete_email
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_reply_email
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_forward_email
2026-07-21 21:53:42,599 | INFO | tool_registry | [----------] Registrando tool servidor: mail_generate_draft
2026-07-21 21:53:42,600 | INFO | tool_registry | [----------] Registrando tool servidor: mail_set_invoice_folder
2026-07-21 21:53:42,601 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.memory_tools
2026-07-21 21:53:42,601 | INFO | tool_registry | [----------] Registrando tool servidor: save_user_preference
2026-07-21 21:53:42,601 | INFO | tool_registry | [----------] Registrando tool servidor: forget_user_fact
2026-07-21 21:53:42,601 | INFO | tool_registry | [----------] Registrando tool servidor: get_user_profile
2026-07-21 21:53:42,603 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.market_research_tools
2026-07-21 21:53:42,603 | INFO | tool_registry | [----------] Registrando tool servidor: market_analyze_niche
2026-07-21 21:53:42,603 | INFO | tool_registry | [----------] Registrando tool servidor: market_generate_proposal
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.calendar_tools
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_create_event
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_list_events
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_delete_event
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_open_ui
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_close_ui
2026-07-21 21:53:42,604 | INFO | tool_registry | [----------] Registrando tool servidor: calendar_update_event
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.filesystem_tools
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: create_file
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: read_file
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: list_directory
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: create_directory
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: append_file
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: delete_file
2026-07-21 21:53:42,608 | INFO | tool_registry | [----------] Registrando tool servidor: delete_directory
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando tool servidor: move_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando tool servidor: rename_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando tool servidor: replace_file_content
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): create_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): read_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): append_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): delete_file
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): list_directory
2026-07-21 21:53:42,609 | INFO | tool_registry | [----------] Registrando esquema de args (Fase 1): replace_file_content
2026-07-21 21:56:56,275 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.browser_tools
2026-07-21 21:56:56,276 | INFO | tool_registry | [----------] Registrando tool servidor: browser_navigate
2026-07-21 21:56:56,276 | INFO | tool_registry | [----------] Registrando tool servidor: browser_click
2026-07-21 21:56:56,276 | INFO | tool_registry | [----------] Registrando tool servidor: browser_fill
2026-07-21 21:56:56,276 | INFO | tool_registry | [----------] Registrando tool servidor: browser_screenshot
2026-07-21 21:56:56,277 | INFO | tool_registry | [----------] Registrando tool servidor: browser_get_text
2026-07-21 21:56:56,277 | INFO | tool_registry | [----------] Registrando tool servidor: browser_inspect
2026-07-21 21:56:56,277 | INFO | tool_registry | [----------] Registrando tool servidor: browser_search
2026-07-21 21:56:56,277 | INFO | tool_registry | [----------] Registrando tool servidor: browser_close
2026-07-21 21:56:56,279 | INFO | tool_registry | [----------] Cargando plugin app.tools.client.system_tools
2026-07-21 21:56:56,279 | INFO | tool_registry | [----------] Registrando tool servidor: system_info
2026-07-21 21:56:56,279 | INFO | tool_registry | [----------] Registrando tool servidor: open_application
2026-07-21 21:56:56,279 | INFO | tool_registry | [----------] Registrando tool servidor: close_application
2026-07-21 21:56:56,280 | INFO | tool_registry | [----------] Registrando tool servidor: get_current_datetime
2026-07-21 21:56:56,280 | INFO | tool_registry | [----------] Registrando tool servidor: open_url
2026-07-21 21:56:56,280 | INFO | tool_registry | [----------] Registrando tool servidor: screenshot
2026-07-21 21:56:56,280 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_move
2026-07-21 21:56:56,280 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_click
2026-07-21 21:56:56,281 | INFO | tool_registry | [----------] Registrando tool servidor: mouse_drag
2026-07-21 21:56:56,281 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_type
2026-07-21 21:56:56,281 | INFO | tool_registry | [----------] Registrando tool servidor: keyboard_hotkey
2026-07-21 21:56:56,281 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_screenshot
2026-07-21 21:56:56,281 | INFO | tool_registry | [----------] Registrando tool servidor: ocr_image
2026-07-21 21:56:56,282 | INFO | tool_registry | [----------] Registrando tool servidor: find_on_screen
2026-07-21 21:56:56,282 | INFO | tool_registry | [----------] Registrando tool servidor: window_list
2026-07-21 21:56:56,282 | INFO | tool_registry | [----------] Registrando tool servidor: window_focus
2026-07-21 21:56:56,283 | INFO | tool_registry | [----------] Registrando tool servidor: window_close
2026-07-21 21:56:56,283 | INFO | tool_registry | [----------] Registrando tool servidor: run_command
2026-07-21 21:56:56,285 | INFO | tool_registry | [----------] Cargando plugin app.tools.server.instagram_tools
