2026-06-04 11:16:42,968 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_click
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_drag
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_type
2026-06-04 12:39:52,023 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_hotkey
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_screenshot
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_image
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.find_on_screen
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_list
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_focus
2026-06-04 12:39:52,024 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_close
2026-06-04 12:39:52,024 | INFO | agent.registry | [----------] Agente iniciado: computer (eventos: ['computer.screenshot', 'computer.mouse_move', 'computer.mouse_click', 'computer.mouse_drag', 'computer.keyboard_type', 'computer.keyboard_hotkey', 'computer.ocr_screenshot', 'computer.ocr_image', 'computer.find_on_screen', 'computer.window_list', 'computer.window_focus', 'computer.window_close'])
2026-06-04 12:39:52,024 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.send
2026-06-04 12:39:52,024 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.read
2026-06-04 12:39:52,025 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.search
2026-06-04 12:39:52,025 | INFO | agent.registry | [----------] Agente iniciado: mail (eventos: ['mail.send', 'mail.read', 'mail.search'])
2026-06-04 12:39:52,025 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.run_pipeline
2026-06-04 12:39:52,025 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.schedule
2026-06-04 12:39:52,025 | INFO | agent.registry | [----------] Agente iniciado: automation (eventos: ['automation.run_pipeline', 'automation.schedule'])
2026-06-04 12:39:52,025 | INFO | agent.chat | [----------] Registrado en EventBus para evento: chat.respond
2026-06-04 12:39:52,025 | INFO | agent.registry | [----------] Agente iniciado: chat (eventos: ['chat.respond'])
2026-06-04 12:39:52,025 | INFO | agent.registry | [----------] AgentRegistry: 7 agentes registrados
2026-06-04 12:43:14,671 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:45:19,805 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:45:50,014 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:47:56,682 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:57:46,105 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:58:09,174 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:58:28,148 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-04 12:58:37,323 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-05 09:59:39,289 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.create
2026-06-05 09:59:39,289 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.read
2026-06-05 09:59:39,290 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.append
2026-06-05 09:59:39,290 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-05 09:59:39,290 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.delete
2026-06-05 09:59:39,290 | INFO | agent.registry | [----------] Agente iniciado: filesystem (eventos: ['filesystem.create', 'filesystem.read', 'filesystem.append', 'filesystem.list', 'filesystem.delete'])
2026-06-05 09:59:39,291 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.info
2026-06-05 09:59:39,291 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.datetime
2026-06-05 09:59:39,291 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.command
2026-06-05 09:59:39,291 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.open_app
2026-06-05 09:59:39,291 | INFO | agent.registry | [----------] Agente iniciado: system (eventos: ['system.info', 'system.datetime', 'system.command', 'system.open_app'])
2026-06-05 09:59:39,291 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.navigate
2026-06-05 09:59:39,291 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.click
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.fill
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.submit
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.screenshot
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_text
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_html
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.wait_for
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.scroll
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.evaluate
2026-06-05 09:59:39,292 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.close
2026-06-05 09:59:39,293 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.search
2026-06-05 09:59:39,293 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.open
2026-06-05 09:59:39,293 | INFO | agent.registry | [----------] Agente iniciado: browser (eventos: ['browser.navigate', 'browser.click', 'browser.fill', 'browser.submit', 'browser.screenshot', 'browser.get_text', 'browser.get_html', 'browser.wait_for', 'browser.scroll', 'browser.evaluate', 'browser.close', 'browser.search', 'browser.open'])
2026-06-05 09:59:39,293 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.screenshot
2026-06-05 09:59:39,293 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_move
2026-06-05 09:59:39,293 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_click
2026-06-05 09:59:39,293 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_drag
2026-06-05 09:59:39,293 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_type
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_hotkey
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_screenshot
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_image
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.find_on_screen
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_list
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_focus
2026-06-05 09:59:39,294 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.window_close
2026-06-05 09:59:39,294 | INFO | agent.registry | [----------] Agente iniciado: computer (eventos: ['computer.screenshot', 'computer.mouse_move', 'computer.mouse_click', 'computer.mouse_drag', 'computer.keyboard_type', 'computer.keyboard_hotkey', 'computer.ocr_screenshot', 'computer.ocr_image', 'computer.find_on_screen', 'computer.window_list', 'computer.window_focus', 'computer.window_close'])
2026-06-05 09:59:39,295 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.send
2026-06-05 09:59:39,295 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.read
2026-06-05 09:59:39,295 | INFO | agent.mail | [----------] Registrado en EventBus para evento: mail.search
2026-06-05 09:59:39,295 | INFO | agent.registry | [----------] Agente iniciado: mail (eventos: ['mail.send', 'mail.read', 'mail.search'])
2026-06-05 09:59:39,295 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.run_pipeline
2026-06-05 09:59:39,295 | INFO | agent.automation | [----------] Registrado en EventBus para evento: automation.schedule
2026-06-05 09:59:39,295 | INFO | agent.registry | [----------] Agente iniciado: automation (eventos: ['automation.run_pipeline', 'automation.schedule'])
2026-06-05 09:59:39,296 | INFO | agent.chat | [----------] Registrado en EventBus para evento: chat.respond
2026-06-05 09:59:39,296 | INFO | agent.registry | [----------] Agente iniciado: chat (eventos: ['chat.respond'])
2026-06-05 09:59:39,296 | INFO | agent.registry | [----------] AgentRegistry: 7 agentes registrados
2026-06-05 10:01:56,720 | INFO | agent.system | [----------] Resultado: <AgentResult agent=system status=success>
2026-06-05 10:06:26,149 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-05 10:09:30,144 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-05 10:13:46,781 | INFO | agent.chat | [----------] Resultado: <AgentResult agent=chat status=success>
2026-06-06 11:05:21,992 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.create
2026-06-06 11:05:21,993 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.read
2026-06-06 11:05:21,993 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.append
2026-06-06 11:05:21,993 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.list
2026-06-06 11:05:21,993 | INFO | agent.filesystem | [----------] Registrado en EventBus para evento: filesystem.delete
2026-06-06 11:05:21,994 | INFO | agent.registry | [----------] Agente iniciado: filesystem (eventos: ['filesystem.create', 'filesystem.read', 'filesystem.append', 'filesystem.list', 'filesystem.delete'])
2026-06-06 11:05:21,994 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.info
2026-06-06 11:05:21,994 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.datetime
2026-06-06 11:05:21,994 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.command
2026-06-06 11:05:21,994 | INFO | agent.system | [----------] Registrado en EventBus para evento: system.open_app
2026-06-06 11:05:21,994 | INFO | agent.registry | [----------] Agente iniciado: system (eventos: ['system.info', 'system.datetime', 'system.command', 'system.open_app'])
2026-06-06 11:05:21,994 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.navigate
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.click
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.fill
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.submit
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.screenshot
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_text
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.get_html
2026-06-06 11:05:21,995 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.wait_for
2026-06-06 11:05:21,996 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.scroll
2026-06-06 11:05:21,996 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.evaluate
2026-06-06 11:05:21,996 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.close
2026-06-06 11:05:21,996 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.search
2026-06-06 11:05:21,996 | INFO | agent.browser | [----------] Registrado en EventBus para evento: browser.open
2026-06-06 11:05:21,996 | INFO | agent.registry | [----------] Agente iniciado: browser (eventos: ['browser.navigate', 'browser.click', 'browser.fill', 'browser.submit', 'browser.screenshot', 'browser.get_text', 'browser.get_html', 'browser.wait_for', 'browser.scroll', 'browser.evaluate', 'browser.close', 'browser.search', 'browser.open'])
2026-06-06 11:05:21,996 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.screenshot
2026-06-06 11:05:21,996 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_move
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_click
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.mouse_drag
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_type
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.keyboard_hotkey
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_screenshot
2026-06-06 11:05:21,997 | INFO | agent.computer | [----------] Registrado en EventBus para evento: computer.ocr_image
