2026-07-07 17:47:09,519 | INFO | app | [518f172c-6bdd-4e34-bbf1-2933924879d2] USER MESSAGE: cierra dev studio
2026-07-07 17:51:23,978 | INFO | app | [518f172c-6bdd-4e34-bbf1-2933924879d2] Solicitud /chat procesada con estado: error
2026-07-07 17:51:23,978 | INFO | app | [518f172c-6bdd-4e34-bbf1-2933924879d2] LATENCY: 258.36s
2026-07-07 17:55:43,291 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] HTTP POST /chat
2026-07-07 17:55:43,292 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] Solicitud /chat recibida
2026-07-07 17:55:43,292 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] SESSION_ID: 455e0cca-87a9-4a6d-85cc-66e9370712f9
2026-07-07 17:55:43,292 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] USER MESSAGE: hola
2026-07-07 17:55:50,135 | INFO | app | [9aa0b1d0-78f8-49fa-aeb9-be32c5f1a6c2] HTTP GET /metrics
2026-07-07 17:55:50,232 | INFO | app | [82575809-c1ef-43b2-9ef1-e87df851fe19] HTTP GET /favicon.ico
2026-07-07 17:58:02,403 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] Solicitud /chat procesada con estado: chat
2026-07-07 17:58:02,403 | INFO | app | [36bc4ba7-8bec-4ed3-a764-b811d963b6cb] LATENCY: 141.62s
2026-07-07 18:37:44,405 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 18:37:44,409 | INFO | app | [----------] Alfonso detenido
2026-07-07 18:39:01,920 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 18:39:01,921 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
2026-07-07 18:39:01,947 | INFO | app | [----------] Prompts de sistema precargados (chat + tool)
2026-07-07 18:40:35,001 | INFO | app | [----------] Modelo precalentado
2026-07-07 18:40:35,001 | INFO | app | [----------] Alfonso listo
2026-07-07 18:40:35,104 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 18:40:35,104 | INFO | app | [----------] Alfonso detenido
2026-07-07 18:40:36,832 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 18:40:36,833 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
2026-07-07 18:40:36,877 | INFO | app | [----------] Prompts de sistema precargados (chat + tool)
2026-07-07 18:41:52,956 | INFO | app | [----------] Modelo precalentado
2026-07-07 18:41:52,956 | INFO | app | [----------] Alfonso listo
2026-07-07 18:41:53,060 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 18:41:53,060 | INFO | app | [----------] Alfonso detenido
2026-07-07 18:41:54,827 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 18:41:54,828 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
